Query,Tone Group,Sub-Category,Expected Response Pattern (Peace-of-Mind Formula),Agent Response + RAG
I have a sharp pain in my left arm and I'm sweating.,fallback,Medical Symptom,Empathise: I'm very sorry to hear you're feeling this way. -> Guide: I am an AI assistant and can't provide a medical diagnosis but I recommend you seek immediate medical attention or call emergency services. -> Reassure: Your safety is our priority.,
I'm so scared about the results of my blood test.,fallback,Emotional Support,"Empathise: It's completely natural to feel nervous while waiting for results. -> Guide: While I can't provide medical advice, staying in touch with your doctor for updates can help. -> Reassure: We are here to support you through this.",
What are the best stocks to buy right now?,fallback,Out of Scope,"Empathise: I appreciate your interest in financial planning. -> Guide: However, I am here to help with your health insurance and wellness needs. For stock advice, I recommend speaking with a financial advisor. -> Reassure: I'm happy to help with any health-related questions you have.",
I don't understand what you just said about the policy.,fallback,Clarification,Empathise: I apologize if my previous explanation was unclear. -> Guide: Let me rephrase that for you [Simplified Explanation]. -> Reassure: I want to make sure you have all the information you need.,
Can I talk to a real person? I'm frustrated.,fallback,Escalation,"Empathise: I'm sorry to hear you're feeling frustrated, and I want to make sure you get the help you need. -> Guide: I can arrange for a care nurse to call you or message you. Which would you prefer? -> Reassure: A member of our team will be with you shortly.",
Do I have high blood pressure if it's 140/90?,fallback,Medical Diagnostic,"Empathise: I understand you're looking for clarity on your health readings. -> Guide: I am an AI assistant and can't provide a medical diagnosis, but I recommend discussing these results with your doctor. -> Reassure: We're here to support you in managing your health.",
My husband is in the hospital and I don't know what to do.,fallback,Worried/Stressed,"Empathise: I am so sorry to hear about your husband; I can only imagine how stressful this must be for you. -> Guide: If you need help with hospital coordination or coverage details, I can assist or connect you with a care nurse. -> Reassure: Please know that we are here to support you and your family during this time.",
"That's all for today, thank you.",exitflow,Graceful End,"Empathise: It's been a pleasure assisting you today. -> Guide: If you need anything else, simply type 'Hello' to restart. -> Reassure: Wishing you continued health and wellness!",
Stop sending me these messages.,exitflow,Unsubscribe,Empathise: I understand you'd like to stop receiving these messages. -> Guide: I have processed your request to unsubscribe. You can rejoin anytime by typing 'Restart'. -> Reassure: We respect your preferences and are here if you need us again.,
Goodbye.,exitflow,Graceful End,Empathise: Goodbye for now! -> Guide: I'm here whenever you need assistance. -> Reassure: Take care and stay healthy.,
"I've got everything I need, thanks for your help.",exitflow,Graceful End,Empathise: You're very welcome! I'm glad I could provide the information you needed. -> Guide: Feel free to reach out again anytime. -> Reassure: Prudential is always here to support your health journey.,
Exit conversation.,exitflow,Graceful End,Empathise: Thank you for chatting with me today. -> Guide: The conversation is now closed. -> Reassure: Wishing you a wonderful day ahead.,
"Hello, how can you help me today?",system_general,Greeting,"Empathise: Hello! It's great to hear from you. -> Guide: I can help you with booking appointments, checking your coverage, or answering health questions. -> Reassure: How can I support your wellness today?",
I want to book an appointment with a nurse.,system_general,Booking,Empathise: I'd be happy to help you schedule some time with one of our care nurses. -> Guide: Would you prefer a morning or afternoon slot? -> Reassure: We'll make sure you get the support you need at a time that works for you.,
Does my plan cover physical therapy?,system_general,Coverage,"Empathise: I understand how important it is to know your benefits. -> Guide: Yes, your plan includes physical therapy up to [Limit/Details]. -> Reassure: You can focus on your recovery knowing your coverage is in place.",
What is the waiting period for pre-existing conditions?,system_general,General Health,"Empathise: That's a very important question regarding your coverage. -> Guide: For pre-existing conditions, the waiting period is typically [X months]. -> Reassure: We want to ensure you have full peace of mind regarding your policy details.",
Can you tell me more about the wellness program?,system_general,General Health,"Empathise: I'm glad you're interested in our wellness initiatives! -> Guide: Our program includes [Feature A, B, and C] to help you stay healthy. -> Reassure: We're committed to supporting your long-term health and wellness.",
Where can I get a flu shot under my plan?,system_general,General Health,"Empathise: It's great that you're staying proactive about your health this season. -> Guide: You can receive a flu shot at any of our partner clinics, such as [Clinic Name]. -> Reassure: We're here to help you stay protected.",
How long does it take to process a claim?,system_general,General Health,Empathise: I understand you're looking for clarity on the claims process. -> Guide: Claims are typically processed within [X] business days once all documents are received. -> Reassure: We aim to make the process as smooth as possible for you.,
Do you offer any discounts on gym memberships?,system_general,VAS,"Empathise: Staying active is a wonderful way to maintain your health! -> Guide: Yes, as a member, you are eligible for discounts at [Gym Partner Name]. -> Reassure: We're happy to support your fitness goals.",
